sentiment_binary,n_days,mean_total_net_pnl,median_total_net_pnl,mean_per_trader_pnl,mean_win_rate
Fear,105,37904.001023985315,1380.9606250000002,2790.9388442193153,0.8432431306703992
Greed,307,15554.303668337725,907.881241,2108.6873730811367,0.837843312171583
