sentiment_binary,mean_trades_per_active_trader,n_active_traders,mean_trade_size_usd,mean_long_short_ratio,trades_per_trader_per_day
Fear,83237,790,7061.086779177691,2.8921859045016265,105.3632911392405
Greed,90295,1174,6658.239913011219,1.9663726304495373,76.91226575809199
